model,parameter_1,parameter_2,n_finite,n_abs_corr_gt_1,fraction_abs_corr_gt_1,median_abs_corr,q95_abs_corr,max_abs_corr
h0,t0,u0,333338,20,5.9999160011759836e-05,0.3108964118899147,0.9344056566985354,9.31555483929263
h0,t0,tE,333340,8,2.3999520009599808e-05,0.3120673508678237,0.8958920054259455,1.0000005623324506
h0,t0,rho,333339,2,5.999898001733971e-06,0.6043257721301678,0.9999999981624533,1.000002169628743
h0,u0,tE,333338,0,0.0,0.8360397900754434,0.9977692691220356,0.9999999998431154
h0,u0,rho,333337,22,6.599927400798591e-05,0.6034815066757997,0.9991863329697956,1.0000003986423716
h0,tE,rho,333339,29,8.699852102514257e-05,0.4886008017808783,0.9736414375775556,1.0000027462446035
h1,t0,u0,333640,31,9.291451864284858e-05,0.4922597286403848,0.9720774318236081,2.96809176252729
h1,t0,tE,333638,648,0.0019422248065268345,0.49616668856700286,0.9776633804865653,2.934139137422044
h1,t0,rho,333640,44,0.00013187867162210766,0.32172566916665224,0.9334271458055015,2.931926942503583
h1,t0,piEN,333640,37,0.00011089797386404508,0.4887968955843487,0.9822368246255407,2.9787375356480092
h1,t0,piEE,333640,41,0.0001228869440115094,0.4937146249942287,0.981600312056673,2.9551747497619014
h1,u0,tE,333640,27,8.092554849538425e-05,0.8917360504366167,0.9993281763403224,1.058791066153038
h1,u0,rho,333642,3,8.991673710144407e-06,0.6627058252403586,0.9979138463894077,1.0000001141483055
h1,u0,piEN,333642,9,2.697502113043322e-05,0.7368560484074156,0.9931989367590708,1.0000088920369579
h1,u0,piEE,333642,7,2.0980571990336947e-05,0.7323963385960356,0.9934026354642211,1.0000272288410765
h1,tE,rho,333640,129,0.00038664428725572475,0.4896710855491076,0.9646275202941486,9.602311438734858
h1,tE,piEN,333640,87,0.0002607601007073492,0.825172529227682,0.9959342615156053,68.21360959029795
h1,tE,piEE,333640,71,0.00021280422011749192,0.8400455138840062,0.9967870899377146,9.421366443136863
h1,rho,piEN,333642,1,2.9972245700481355e-06,0.4739037699135607,0.9476839982111804,1.000000442341779
h1,rho,piEE,333642,4,1.1988898280192542e-05,0.47641835609714367,0.9424184347702679,1.0000014347816804
h1,piEN,piEE,333642,10,2.9972245700481354e-05,0.7698313738464436,0.9942826972467245,1.0007988403176638
