model,lrt_region,n_events,metric,n_finite,median,q10,q90
h0,negative,2978,h0_corr_max_abs,2978,0.9923600138298387,0.8679421950709368,0.9999859199445247
h0,negative,2978,h0_corr_min_eigenvalue,2978,0.00020272728865029202,1.8407948113583094e-14,0.015232594244993071
h0,negative,2978,h0_corr_condition_number,2737,8702.408837246358,132.45136476907481,39373695.96934498
h0,negative,2978,h0_corr_log10_det,2736,-4.158250059121169,-10.25796618884936,-1.7559731175228253
h0,negative,2978,h0_corr_sqrt_det,2736,0.008334417615712462,7.437193813054766e-06,0.13243848105506809
h0,negative,2978,h0_corr_volume_per_dimension,2736,0.3021473298144578,0.05221301181279399,0.6032584406642679
h0,negative,2978,h0_corr_effective_rank,2736,1.9883307877251108,1.3566287955866252,2.723648579774091
h0,negative,2978,h0_cov_log10_sqrt_det,2739,2.143882833416327,-3.119213523272601,7.143107953046721
h0,negative,2978,h0_corr_cauchy_valid_fraction,2978,1.0,,
h0,negative,2978,h0_corr_positive_definite_fraction,2978,0.9190732034922767,,
h0,positive_below_threshold,100754,h0_corr_max_abs,100733,0.9933642702428113,0.8533214348517248,0.9999973932255917
h0,positive_below_threshold,100754,h0_corr_min_eigenvalue,100733,0.0004248803087435069,-1.3636157507372306e-14,0.021718196384203754
h0,positive_below_threshold,100754,h0_corr_condition_number,83922,2608.8009685031543,79.03539835321519,128916745472473.89
h0,positive_below_threshold,100754,h0_corr_log10_det,83762,-3.2345233571262497,-15.014846516321088,-1.4814734047191358
h0,positive_below_threshold,100754,h0_corr_sqrt_det,83762,0.024140058679208452,3.108685174869858e-08,0.18166166806149348
h0,positive_below_threshold,100754,h0_corr_volume_per_dimension,83762,0.3941709194135977,0.01327835224954933,0.6528536317887792
h0,positive_below_threshold,100754,h0_corr_effective_rank,83762,2.1643876709047944,1.5410555999599203,2.784782792304316
h0,positive_below_threshold,100754,h0_cov_log10_sqrt_det,83884,-0.39977291326113196,-21.556597977552286,3.3041443870286824
h0,positive_below_threshold,100754,h0_corr_cauchy_valid_fraction,100754,0.9997121702364175,,
h0,positive_below_threshold,100754,h0_corr_positive_definite_fraction,100754,0.8329396351509617,,
h0,detected_alpha_1e-3,229921,h0_corr_max_abs,229626,0.9975791880290781,0.8707345581345125,0.9999999938855052
h0,detected_alpha_1e-3,229921,h0_corr_min_eigenvalue,229626,8.712655321294181e-05,-3.5288612801878465e-14,0.021114984140470333
h0,detected_alpha_1e-3,229921,h0_corr_condition_number,177568,3111.0308453757198,76.76824927341683,241320696552694.44
h0,detected_alpha_1e-3,229921,h0_corr_log10_det,177178,-3.4159452187386092,-14.622153103467827,-1.5029788258596462
h0,detected_alpha_1e-3,229921,h0_corr_sqrt_det,177178,0.019589682208890513,4.885662355711772e-08,0.1772191246709898
