model,lrt_region,n_region,metric,n_finite,mean,median,q10,q25,q75,q90
h0,negative,2978,max_abs_corr,2978,0.9558214891222097,0.9923600138298387,0.8679421950709368,0.9560321341528276,0.9993002166447287,0.9999859199445247
h0,negative,2978,relative_min_eigenvalue,2978,0.006719438203730992,7.148651583351677e-05,5.8198284233607116e-15,1.1621402429402944e-06,0.0009046534256642227,0.006160464928227969
h0,negative,2978,log10_condition_number,2737,4.6840555237570465,3.93963948249488,2.122055980129793,2.938429099766576,5.3141161490640645,7.59520347410595
h0,negative,2978,log10_det_R,2736,-5.160542902950516,-4.158250059121169,-10.25796618884936,-6.250275012325138,-2.7316686828602785,-1.7559731175228253
h0,negative,2978,sqrt_det_R,2736,0.05210903159484937,0.008334417615712462,7.437193813054766e-06,0.0007496570766050837,0.04306912475341436,0.13243848105506809
h0,negative,2978,volume_per_dimension,2736,0.32355132920568225,0.3021473298144578,0.05221301181279399,0.16546861542325347,0.4555556516159879,0.6032584406642679
h0,negative,2978,effective_rank,2736,2.035873326293603,1.9883307877251108,1.3566287955866252,1.7143972354260395,2.381383795404216,2.723648579774091
h0,positive_below_threshold,100754,max_abs_corr,100733,0.954903274791682,0.9933642702428113,0.8533214348517248,0.9564610335340357,0.9993077256288475,0.9999973932255917
h0,positive_below_threshold,100754,relative_min_eigenvalue,100733,0.0070983038308502725,0.00014996931223044532,-4.965954600958198e-15,7.717592269283336e-15,0.0015952986826837502,0.008990957621762741
h0,positive_below_threshold,100754,log10_condition_number,83922,5.421011201456766,3.416440946980669,1.8978216463813704,2.629573190236422,5.262146788288943,14.110309331720638
h0,positive_below_threshold,100754,log10_det_R,83762,-5.556401466473315,-3.2345233571262497,-15.014846516321088,-6.321401240949555,-2.2532922532700397,-1.4814734047191358
h0,positive_below_threshold,100754,sqrt_det_R,83762,0.06972676483836475,0.024140058679208452,3.108685174869858e-08,0.0006907157862177101,0.0747057230512006,0.18166166806149348
h0,positive_below_threshold,100754,volume_per_dimension,83762,0.36079506361776637,0.3941709194135977,0.01327835224954933,0.16211561382618203,0.5228034782957673,0.6528536317887792
h0,positive_below_threshold,100754,effective_rank,83762,2.1780717399905574,2.1643876709047944,1.5410555999599203,1.8513681868523697,2.5328308692071118,2.784782792304316
h0,detected_alpha_1e-3,229921,max_abs_corr,229626,0.9612488201227328,0.9975791880290781,0.8707345581345125,0.9703433187428825,0.9999988977821183,0.9999999938855052
h0,detected_alpha_1e-3,229921,relative_min_eigenvalue,229626,0.006884207409838271,3.048954034626343e-05,-1.3894784624058662e-14,6.857943399270571e-16,0.0013723923731797432,0.008589216558434604
h0,detected_alpha_1e-3,229921,log10_condition_number,177568,6.256510869947098,3.492904317064812,1.8851816343323633,2.593502925684633,13.02536055305882,14.382594570202063
h0,detected_alpha_1e-3,229921,log10_det_R,177178,-6.2367291789145245,-3.4159452187386092,-14.622153103467827,-13.169361245941179,-2.2332080053382164,-1.5029788258596462
h0,detected_alpha_1e-3,229921,sqrt_det_R,177178,0.06770243432869638,0.019589682208890513,4.885662355711772e-08,2.602072407762852e-07,0.07645325803147376,0.1772191246709898
h0,detected_alpha_1e-3,229921,volume_per_dimension,177178,0.3375655923951261,0.37411648704510025,0.014867257456287922,0.02258550701176977,0.5258344062570348,0.6488251066140643
h0,detected_alpha_1e-3,229921,effective_rank,177178,2.260491395278261,2.266344178655912,1.7290880521967469,1.9481767692552734,2.5854905139225406,2.7773635414982505
h1,negative,2978,max_abs_corr,2973,0.9825370052854747,0.9952478512441097,0.9487125759573027,0.9802367131624115,0.9992836844484501,0.9999667007811709
h1,negative,2978,relative_min_eigenvalue,2973,-1.6173608221673732e-06,1.2295155823389892e-06,-1.2059686865709135e-09,2.555994487090146e-08,1.8437207853732998e-05,0.00011138825355546514
h1,negative,2978,log10_condition_number,2596,5.778041153454255,5.551404640879833,3.889558185489041,4.598509762530984,6.882045549777752,7.919176331025591
h1,negative,2978,log10_det_R,2596,-10.559599187920258,-9.98738879497427,-15.994711622621562,-12.837612637998731,-7.663454677120562,-5.940977318217113
h1,negative,2978,sqrt_det_R,2596,0.000757630423311508,1.0146282273948121e-05,1.00610726592881e-08,3.8123584711327696e-07,0.000147323966534153,0.0010703310254688491
h1,negative,2978,volume_per_dimension,2596,0.16849932718711458,0.14713555697083527,0.046463012815457935,0.08515280297291804,0.22981522535661633,0.3198296663208745
h1,negative,2978,effective_rank,2596,2.1520834272219767,2.134749047898227,1.4937997417548363,1.7889695026970422,2.4991453903799985,2.8070113999967328
h1,positive_below_threshold,100754,max_abs_corr,100745,0.9753826802875457,0.9915274635777257,0.9286638575209254,0.9697906585790439,0.9984132435747481,0.999761980277141
