model,lrt_region,tolerance,n_with_finite_eigenvalues,n_psd_with_tolerance,fraction_psd_with_tolerance
h0,negative,0.0,2978,2737,0.9190732034922767
h0,negative,1e-14,2978,2813,0.9445936870382807
h0,negative,1e-12,2978,2931,0.9842175957018133
h0,negative,1e-10,2978,2965,0.9956346541302887
h0,negative,1e-08,2978,2976,0.9993284083277367
h0,negative,1e-06,2978,2978,1.0
h0,positive_below_threshold,0.0,100733,83924,0.8331331341268502
h0,positive_below_threshold,1e-14,100733,92826,0.9215053656696415
h0,positive_below_threshold,1e-12,100733,100143,0.9941429323061955
h0,positive_below_threshold,1e-10,100733,100681,0.9994837838642748
h0,positive_below_threshold,1e-08,100733,100723,0.9999007276662067
h0,positive_below_threshold,1e-06,100733,100732,0.9999900727666207
h0,detected_alpha_1e-3,0.0,229626,177577,0.7733314171740134
h0,detected_alpha_1e-3,1e-14,229626,203449,0.8860015851863465
h0,detected_alpha_1e-3,1e-12,229626,227760,0.9918737425204462
h0,detected_alpha_1e-3,1e-10,229626,229263,0.9984191685610514
h0,detected_alpha_1e-3,1e-08,229626,229549,0.9996646721190109
h0,detected_alpha_1e-3,1e-06,229626,229622,0.9999825803698188
h1,negative,0.0,2973,2596,0.8731920618903465
h1,negative,1e-14,2973,2597,0.8735284224688866
h1,negative,1e-12,2973,2602,0.8752102253615877
h1,negative,1e-10,2973,2627,0.8836192398250925
h1,negative,1e-08,2973,2727,0.917255297679112
h1,negative,1e-06,2973,2879,0.9683821056172217
h1,positive_below_threshold,0.0,100745,98259,0.9753238374112859
h1,positive_below_threshold,1e-14,100745,98259,0.9753238374112859
h1,positive_below_threshold,1e-12,100745,98275,0.9754826542260162
h1,positive_below_threshold,1e-10,100745,98461,0.9773288996972554
h1,positive_below_threshold,1e-08,100745,99192,0.9845848429202442
h1,positive_below_threshold,1e-06,100745,100132,0.993915330785647
h1,detected_alpha_1e-3,0.0,229920,229119,0.9965161795407098
h1,detected_alpha_1e-3,1e-14,229920,229119,0.9965161795407098
h1,detected_alpha_1e-3,1e-12,229920,229120,0.9965205288796103
h1,detected_alpha_1e-3,1e-10,229920,229170,0.9967379958246346
h1,detected_alpha_1e-3,1e-08,229920,229407,0.9977687891440501
h1,detected_alpha_1e-3,1e-06,229920,229740,0.9992171189979123
