bin_index,x_transform_left,x_transform_right,x_transform_center,delta_chi2_center,n_total,n_positive_definite,positive_definite_fraction,n_volume,volume_q16,volume_median,volume_q84
0,-1.179999225200436,-1.0090627830409618,-1.0945310041206988,-11.43171382217007,5,4,0.8,4,0.06309776866885042,0.13930108588796922,0.25142125922476166
1,-1.0090627830409618,-0.8381263408814874,-0.9235945619612246,-7.38676669653063,22,15,0.6818181818181818,15,0.07469739443468935,0.1839330449421802,0.30502026764078255
2,-0.8381263408814874,-0.6671898987220132,-0.7526581198017503,-4.657937162018517,87,74,0.8505747126436781,74,0.06282921824529462,0.14376291094602828,0.2998380201128615
3,-0.6671898987220132,-0.49625345656253883,-0.581721677642276,-2.81699576102346,214,182,0.8504672897196262,182,0.06854819194440083,0.16002309280135685,0.3030952734049908
4,-0.49625345656253883,-0.3253170144030645,-0.41078523548280166,-1.5750474461744086,359,309,0.8607242339832869,309,0.06617063595217866,0.14855795243300007,0.2704459856255331
5,-0.3253170144030645,-0.15438057224359025,-0.23984879332332737,-0.7371958904851899,649,568,0.8751926040061633,568,0.06423843973974486,0.14745918588133272,0.2728769999592789
6,-0.15438057224359025,0.01655586991588409,-0.06891235116385308,-0.17195881823539483,2819,2517,0.8928698119900674,2517,0.06188248189654232,0.1588425473035131,0.3172652104729484
7,0.01655586991588409,0.18749231207535844,0.10202409099562126,0.26480650632457703,12407,11808,0.9517208027726284,11808,0.08472531501478976,0.2197735839410955,0.3711373709588177
8,0.18749231207535844,0.3584287542348328,0.2729605331550956,0.8748241242421044,13976,13529,0.968016599885518,13529,0.09544265281793111,0.23282248647660253,0.3829922320942776
9,0.3584287542348328,0.5293651963943071,0.44389697531456995,1.7790539337549522,15668,15276,0.9749808526933877,15276,0.10437161395906344,0.24232444997147984,0.3903761658695965
10,0.5293651963943071,0.7003016385537815,0.6148334174740443,3.119394809814998,16584,16230,0.9786541244573083,16230,0.10590614734928867,0.24763201026978143,0.3971141489991619
11,0.7003016385537815,0.8712380807132556,0.7857698596335185,5.106183616307982,16155,15886,0.9833488084184463,15886,0.11368774592523619,0.253526877410306,0.40080558417687795
12,0.8712380807132556,1.0421745228727302,0.9567063017929929,8.05120292602945,15326,15126,0.9869502805689677,15126,0.12016008149531397,0.2621208217276588,0.407679099785951
13,1.0421745228727302,1.2131109650322043,1.1276427439524672,12.416608401582662,14661,14475,0.9873132801309596,14475,0.13121190684025064,0.27066266446817516,0.40770226775225166
14,1.2131109650322043,1.3840474071916788,1.2985791861119416,18.8874539077849,14507,14382,0.9913834700489419,14382,0.138098831147973,0.27790534232264363,0.41247309899809537
15,1.3840474071916788,1.554983849351153,1.469515628271416,28.479195568353415,14846,14712,0.9909739997305671,14712,0.14701204788344682,0.2811553535976983,0.4147269811144383
16,1.554983849351153,1.725920291510627,1.64045207043089,42.69704515151887,15005,14903,0.9932022659113628,14903,0.1568671137169061,0.285875594036215,0.41931247011073874
17,1.725920291510627,1.8968567336701017,1.8113885125903644,63.772179774935864,14915,14830,0.9943010392222594,14830,0.16043683558733546,0.28870964694742374,0.4174486801339905
18,1.8968567336701017,2.067793175829576,1.9823249547498387,95.01187582018416,15142,15079,0.9958393871351209,15079,0.1670809638570612,0.29168170737366755,0.41702186938800595
19,2.067793175829576,2.2387296179890503,2.153261396909313,141.31851283284362,14767,14705,0.9958014491772195,14705,0.17137429667952944,0.29583549025539874,0.42018714499232757
20,2.2387296179890503,2.4096660601485245,2.3241978390687876,209.9588935944345,14669,14626,0.9970686481696094,14626,0.1788728113608927,0.298423278936233,0.42382098993996664
21,2.4096660601485245,2.580602502307999,2.4951342812282618,311.70460814088506,14367,14328,0.9972854458133222,14328,0.18303884032407683,0.2981057375362176,0.41949256940738855
22,2.580602502307999,2.751538944467473,2.666070723387736,462.52239664535387,13917,13900,0.9987784723719192,13900,0.1848157626477419,0.29905161216275933,0.41901874707728876
23,2.751538944467473,2.9224753866269473,2.8370071655472104,686.0797762438273,13146,13124,0.9983264871443785,13124,0.19051806774528607,0.298322488821654,0.4163069388160119
24,2.9224753866269473,3.093411828786422,3.0079436077066846,1017.4591345312272,12173,12156,0.998603466688573,12156,0.19377412783636352,0.3024468092194947,0.41526355209994714
25,3.093411828786422,3.2643482709458964,3.178880049866159,1508.6631345790045,11481,11470,0.999041895305287,11470,0.19522899893336632,0.3029563327259476,0.41374102337264346
26,3.2643482709458964,3.43528471310537,3.3498164920256333,2236.775383060324,10098,10087,0.9989106753812637,10087,0.1964750718409946,0.2969886926066804,0.41048496122352957
27,3.43528471310537,3.6062211552648447,3.5207529341851074,3316.0569979025463,8994,8990,0.9995552590615966,8990,0.20111789584692163,0.2992679249775678,0.40717416345949003
28,3.6062211552648447,3.7771575974243192,3.691689376344582,4915.877364289809,7740,7736,0.999483204134367,7736,0.2001406484711185,0.29427757773818364,0.39984430089304923
29,3.7771575974243192,3.948094039583794,3.8626258185040565,7287.29291469889,6867,6865,0.99970875200233,6865,0.2000874576544854,0.2962495491539316,0.40295053236994827
30,3.948094039583794,4.119030481743268,4.033562260663531,10802.44488480495,5620,5619,0.9998220640569395,5619,0.205723012331456,0.29336014833511254,0.39556273920792584
31,4.119030481743268,4.2899669239027425,4.204498702823005,16012.958651912983,4502,4501,0.9997778764993336,4501,0.20327117612068707,0.29268457021322125,0.39269169045825436
32,4.2899669239027425,4.460903366062217,4.37543514498248,23736.509140799273,3421,3419,0.9994153756211634,3419,0.20038656011771733,0.28624236198588066,0.39376072728121986
33,4.460903366062217,4.63183980822169,4.546371587141953,35185.13682334052,2721,2721,1.0,2721,0.19077736768042203,0.2790677266547574,0.375266967303592
34,4.63183980822169,4.802776250381164,4.717308029301427,52155.45067084543,1976,1975,0.9994939271255061,1975,0.1857571046011762,0.27224485215917255,0.36929029184251894
35,4.802776250381164,4.973712692540639,4.888244471460902,77310.56620683194,1431,1431,1.0,1431,0.18039859812101014,0.26132042324996535,0.36117770538157956
36,4.973712692540639,5.1446491347001135,5.059180913620376,114598.02260363058,952,952,1.0,952,0.17078215708530936,0.24352375023264328,0.33384545467262083
37,5.1446491347001135,5.315585576859588,5.230117355779851,169869.2616704574,607,607,1.0,607,0.15253775078624726,0.22203686394724767,0.3099373739025669
38,5.315585576859588,5.486522019019063,5.401053797939325,251797.882262679,389,389,1.0,389,0.13984493101830017,0.21243220286680795,0.2912890138590512
39,5.486522019019063,5.657458461178537,5.5719902400988,373240.76983805175,209,209,1.0,209,0.12533210365114889,0.19824520181466954,0.261018120429326
40,5.657458461178537,5.82839490333801,5.742926682258274,553255.7003475098,115,115,1.0,115,0.10982119826909086,0.1708478815623117,0.21870690140088203
41,5.82839490333801,5.999331345497485,5.913863124417747,820092.036779423,77,77,1.0,77,0.09951032318924473,0.1486305425749088,0.24102428331590053
42,5.999331345497485,6.170267787656959,6.084799566577222,1215623.8420519007,45,45,1.0,45,0.08329714954277852,0.13238394662263903,0.20417967440843865
43,6.170267787656959,6.341204229816434,6.255736008736696,1801921.0872999206,15,15,1.0,15,0.0729322325290033,0.11024026246347958,0.15504396268614581
44,6.341204229816434,6.512140671975909,6.426672450896172,2670990.1614003386,7,7,1.0,7,0.06531139714793698,0.07077810927109458,0.08841701047301892
