bin_index,delta_chi2_center,n_total,n_valid_parallax_covariance,valid_fraction,log10_relative_area_q16,log10_relative_area_median,log10_relative_area_q84
0,-11.43171382217007,5,5,1.0,1.5969664613453052,4.411430884756831,7.0341746437100126
1,-7.38676669653063,22,20,0.9090909090909091,0.8129893701425007,2.853633804924179,3.883569720528325
2,-4.657937162018517,87,87,1.0,-0.08199660694722011,1.7889749861310813,4.210085941280669
3,-2.81699576102346,214,212,0.9906542056074766,-0.037696337204273275,1.4875279079733408,3.658694172798776
4,-1.5750474461744086,359,357,0.9944289693593314,-0.08096915145002767,1.5488356745004768,3.6121841666241448
5,-0.7371958904851899,649,649,1.0,0.13220729379442647,1.6083443272754872,3.5007927828127916
6,-0.17195881823539483,2819,2812,0.9975168499467897,0.8497556920291229,2.2111061983094196,4.0523863927604244
7,0.26480650632457703,12407,12406,0.9999194003385186,0.2319541415728364,1.1025616538094434,2.3787152360754518
8,0.8748241242421044,13976,13973,0.9997853463079565,-0.3435025269423048,0.43193396820217467,1.518182924837793
9,1.7790539337549522,15668,15665,0.999808526933878,-0.6572163427643587,0.10420600484902605,1.141783036761599
10,3.119394809814998,16584,16584,1.0,-0.8942228444922643,-0.1360157022624085,0.8731902910815436
11,5.106183616307982,16155,16155,1.0,-1.0506805014673213,-0.31755098569220636,0.6322682477889469
12,8.05120292602945,15326,15325,0.9999347514028448,-1.177795669833873,-0.469962438941275,0.4350443647561925
13,12.416608401582662,14661,14661,1.0,-1.283210239619071,-0.6152948387901853,0.23859572636851686
14,18.8874539077849,14507,14507,1.0,-1.3834097212372798,-0.7490938624862388,0.07154360362771173
15,28.479195568353415,14846,14846,1.0,-1.5398373606874274,-0.9041536797806232,-0.09881539410682141
16,42.69704515151887,15005,15004,0.9999333555481507,-1.6680219024950202,-1.0577656644664328,-0.28357521089864224
17,63.772179774935864,14915,14915,1.0,-1.8006343425869427,-1.2000424843854334,-0.4288705392331994
18,95.01187582018416,15142,15142,1.0,-1.9566165004868556,-1.3490174456775867,-0.596965589273354
19,141.31851283284362,14767,14767,1.0,-2.0850399210478687,-1.5022652395900042,-0.7390937842145329
20,209.9588935944345,14669,14669,1.0,-2.246044487568066,-1.669115915663085,-0.9280895151914788
21,311.70460814088506,14367,14367,1.0,-2.370367883300584,-1.8032957203368993,-1.0623259276557722
22,462.52239664535387,13917,13917,1.0,-2.5264687730511146,-1.9524327528304286,-1.2135142627792979
23,686.0797762438273,13146,13146,1.0,-2.6678192180920997,-2.1064373801235594,-1.381971093120848
24,1017.4591345312272,12173,12173,1.0,-2.829222260427548,-2.266864851907802,-1.5511820948638864
25,1508.6631345790045,11481,11481,1.0,-2.9839013178248237,-2.434815205212846,-1.733823884073493
26,2236.775383060324,10098,10098,1.0,-3.131803947884344,-2.5937811101572645,-1.8780779872737317
27,3316.0569979025463,8994,8994,1.0,-3.302258555619085,-2.7636084876254725,-2.08073983196747
28,4915.877364289809,7740,7740,1.0,-3.4601222056696814,-2.9257422052360447,-2.2318230288202243
29,7287.29291469889,6867,6867,1.0,-3.652354987029266,-3.1190240753891874,-2.4442022491610302
30,10802.44488480495,5620,5620,1.0,-3.8091900079483434,-3.2893504189336378,-2.644955298414341
31,16012.958651912983,4502,4502,1.0,-4.015375395955927,-3.47750212974628,-2.867705873532325
32,23736.509140799273,3421,3421,1.0,-4.2069449579582825,-3.666640876412482,-3.0369071611862366
33,35185.13682334052,2721,2721,1.0,-4.380783651293126,-3.843841887234706,-3.2319589102293595
34,52155.45067084543,1976,1976,1.0,-4.5898724023943505,-4.05725937582714,-3.4280302827858096
35,77310.56620683194,1431,1431,1.0,-4.7976354343414425,-4.263741280156408,-3.5751518203893635
36,114598.02260363058,952,952,1.0,-4.986212285925364,-4.460894467094294,-3.815913389719184
37,169869.2616704574,607,607,1.0,-5.254516192398906,-4.778395767508478,-4.097948903117679
38,251797.882262679,389,389,1.0,-5.467816990731298,-5.062073396555924,-4.391015999587536
39,373240.76983805175,209,209,1.0,-5.685704977323643,-5.249121325437947,-4.744885494015985
40,553255.7003475098,115,115,1.0,-6.041354915186789,-5.559954597073528,-4.906957589529907
41,820092.036779423,77,77,1.0,-6.158331159957158,-5.745662291393377,-5.005252166090247
42,1215623.8420519007,45,45,1.0,-6.176003256235053,-5.740803022752188,-5.180174945229456
43,1801921.0872999206,15,15,1.0,-6.5545461058101395,-5.884092172932047,-5.588038162762942
44,2670990.1614003386,7,7,1.0,-6.412257191236715,-6.074885132396827,-5.884599491644822
