parameter_1,parameter_2,negative_n,negative_median_abs_corr,negative_q90_abs_corr,positive_below_threshold_n,positive_below_threshold_median_abs_corr,positive_below_threshold_q90_abs_corr,detected_alpha_1e-3_n,detected_alpha_1e-3_median_abs_corr,detected_alpha_1e-3_q90_abs_corr,negative_minus_detected_median,negative_minus_positive_below_median
t0,piEN,2596,0.7373320490450964,0.993625871158367,98259,0.5459080879602863,0.966442944269675,229119,0.46210345590743707,0.9165203199779478,0.27522859313765935,0.19142396108481008
t0,piEE,2596,0.732024122695503,0.9940970821829251,98259,0.5557227569413085,0.9670083003259802,229119,0.46676351334898347,0.9155108343274573,0.2652606093465195,0.17630136575419453
t0,u0,2596,0.6230041510866573,0.9738961853700654,98259,0.5638575295001645,0.9620309533967872,229119,0.4625707891051484,0.8912298503062508,0.16043336198150887,0.059146621586492754
t0,tE,2596,0.621385972760899,0.9765982679942051,98259,0.5778118387647304,0.9658822876502022,229119,0.461653283437528,0.8945895745146721,0.15973268932337104,0.04357413399616861
t0,rho,2596,0.4530717146748356,0.937187238135197,98259,0.38375442326562786,0.9077656598529295,229119,0.29795416040967126,0.7841552430382669,0.15511755426516433,0.06931729140920773
u0,rho,2596,0.7592400925680258,0.9959927715643222,98259,0.7524614934075193,0.9973896440814044,229119,0.6306602326431854,0.979437768187122,0.12857985992484045,0.006778599160506493
piEN,piEE,2596,0.8672064177331583,0.9956698904698151,98259,0.8087611571833137,0.9885647359214011,229119,0.7484070305849945,0.9795574038416776,0.11879938714816385,0.05844526054984467
tE,rho,2596,0.5766769568082588,0.9679958609602994,98259,0.5092514112035106,0.9508732426035502,229119,0.47748112375816887,0.8761259467113344,0.09919583305008994,0.06742554560474823
u0,piEE,2596,0.7914481645458585,0.9886434572047785,98259,0.7218894104840913,0.9840498584088484,229119,0.7327799155229644,0.9812512782483638,0.05866824902289414,0.06955875406176726
rho,piEN,2596,0.529727014595998,0.9461232373170823,98259,0.47171467280731766,0.9129154673727401,229119,0.4715377046313651,0.872181909418211,0.05818930996463295,0.058012341788680366
rho,piEE,2596,0.5318092407361534,0.9465526558139266,98259,0.46954070451968977,0.9071258693005572,229119,0.47553799336233354,0.869301963427247,0.05627124737381989,0.062268536216463666
u0,piEN,2596,0.7778465153011613,0.9910073947582655,98259,0.7378633918625658,0.9861421348742264,229119,0.7329521709038099,0.9792467781944184,0.044894344397351404,0.03998312343859556
tE,piEE,2596,0.8260403663264686,0.9916406284038771,98259,0.8321008408235905,0.9909918764686604,229119,0.8422003233213505,0.9909760167452832,-0.01615995699488193,-0.006060474497121882
u0,tE,2596,0.8629695750098892,0.9968544329412654,98259,0.9147655253431989,0.998761798210558,229119,0.881922829984868,0.9969058633221718,-0.018953254974978795,-0.05179595033330964
tE,piEN,2596,0.7968932646472151,0.9915255015152271,98259,0.8258396872894953,0.9906147459642356,229119,0.8234684888411338,0.9873375917914197,-0.026575224193918667,-0.0289464226422802
