bin_index,delta_chi2_center,parameter_1,parameter_2,n_total,n_positive_definite,abs_corr_q16,abs_corr_median,abs_corr_q84
0,-11.43171382217007,t0,u0,5,4,0.04914801437301769,0.35654026873378497,0.8047962424899611
0,-11.43171382217007,t0,tE,5,4,0.5106952767817097,0.652511159195632,0.8432608822035933
0,-11.43171382217007,t0,rho,5,4,0.11180138766214427,0.19077594565008157,0.5423450045789989
0,-11.43171382217007,t0,piEN,5,4,0.8375962766335132,0.9099711962163599,0.9873660842964918
0,-11.43171382217007,t0,piEE,5,4,0.4105496754623161,0.7213504026577433,0.9852295111468069
0,-11.43171382217007,u0,tE,5,4,0.730147532984325,0.8497052136188552,0.9556841879733632
0,-11.43171382217007,u0,rho,5,4,0.43526434226112015,0.8950354476725699,0.9538073832652967
0,-11.43171382217007,u0,piEN,5,4,0.40795985552250624,0.5157270219735205,0.8165871968061653
0,-11.43171382217007,u0,piEE,5,4,0.6330881480758156,0.7934845321974309,0.9762150555578296
0,-11.43171382217007,tE,rho,5,4,0.3760347045536504,0.7897289799809626,0.8710991166411456
0,-11.43171382217007,tE,piEN,5,4,0.17323407795971002,0.3107707515461229,0.7107416262393509
0,-11.43171382217007,tE,piEE,5,4,0.6583090845689423,0.9130315019820866,0.9554773275797163
0,-11.43171382217007,rho,piEN,5,4,0.13936444990306673,0.18150802961251433,0.5739206226985981
0,-11.43171382217007,rho,piEE,5,4,0.13493340068708276,0.4086668784522284,0.7834614269225021
0,-11.43171382217007,piEN,piEE,5,4,0.1338302437811314,0.5896341940059189,0.9996677908957544
1,-7.38676669653063,t0,u0,22,15,0.19043301121629672,0.66089896430277,0.8674451780915445
1,-7.38676669653063,t0,tE,22,15,0.23350495955128497,0.6132855849315973,0.8604113918068602
1,-7.38676669653063,t0,rho,22,15,0.10899359374495819,0.3860625870724187,0.8837920571341618
1,-7.38676669653063,t0,piEN,22,15,0.32502816122413086,0.6726148304889336,0.9351831607517439
1,-7.38676669653063,t0,piEE,22,15,0.17893578089446574,0.8107964324440208,0.9921399256331276
1,-7.38676669653063,u0,tE,22,15,0.47272773415055247,0.707580474210764,0.975700643494754
1,-7.38676669653063,u0,rho,22,15,0.14605403179236276,0.6993094880915295,0.9706005718772209
1,-7.38676669653063,u0,piEN,22,15,0.4189790629260075,0.8245109937261177,0.9478200317960941
1,-7.38676669653063,u0,piEE,22,15,0.3756641399109383,0.8432768621026303,0.9713578197275519
1,-7.38676669653063,tE,rho,22,15,0.11700019641634965,0.7027464561194389,0.8291576271003356
1,-7.38676669653063,tE,piEN,22,15,0.2421964646011165,0.571712923609639,0.9168745855195904
1,-7.38676669653063,tE,piEE,22,15,0.18284713245811263,0.4764453259678103,0.9677572321327907
1,-7.38676669653063,rho,piEN,22,15,0.28691623657271886,0.6574064359279526,0.8521434174160409
1,-7.38676669653063,rho,piEE,22,15,0.18365658598878384,0.6114153505093542,0.9190717075361948
1,-7.38676669653063,piEN,piEE,22,15,0.662934672011984,0.8244359236256824,0.9674977997551196
