bin_index,tE_left_days,tE_right_days,tE_center_days,n_positive,n_detected,n_confused,detection_fraction,confused_fraction,wilson95_lower,wilson95_upper
0,2.5,3.117570321954648,2.7917603415921324,3,0,3,0.0,1.0,0.0,0.5614970317550455
1,3.117570321954648,3.887697884932963,3.4814036747830412,8,0,8,0.0,1.0,0.0,0.32440756488388023
2,3.887697884932963,4.848068618717145,4.341408310098984,26,0,26,0.0,1.0,0.0,0.1287289218592153
3,4.848068618717145,6.045677937804893,5.413858281220749,74,1,73,0.013513513513513514,0.9864864864864865,0.002389463403456818,0.07265356519843233
4,6.045677937804893,7.539130445998606,6.751233561920883,194,0,194,0.0,1.0,0.0,0.019416854503563286
5,7.539130445998606,9.401507732715984,8.418978155691486,458,5,453,0.010917030567685589,0.9890829694323144,0.004671867780277887,0.025298284436108452
6,9.401507732715984,11.723944595656999,10.498702575747302,1063,49,1014,0.04609595484477893,0.9539040451552211,0.03504172556851682,0.060418999151791226
7,11.723944595656999,14.620088691064332,13.092177427671444,2096,169,1927,0.08062977099236641,0.9193702290076335,0.06972650226224435,0.09306743505370808
8,14.620088691064332,18.23166184304277,16.32631351930921,3942,603,3339,0.15296803652968036,0.8470319634703196,0.14206954676967412,0.16454222956415834
9,18.23166184304277,22.735395152713263,20.35937219789014,7138,1641,5497,0.22989632950406277,0.7701036704959372,0.22028201956311952,0.23980120655812695
10,22.735395152713263,28.35167727440416,25.38870981510835,11401,3710,7691,0.3254100517498465,0.6745899482501535,0.3168698368486115,0.33406787987685616
11,28.35167727440416,35.35533905932737,31.660435292920177,16681,7019,9662,0.42077813080750553,0.5792218691924944,0.4133054120593302,0.4282873290809976
12,35.35533905932737,44.089102309601216,39.48145337974939,23379,11966,11413,0.5118268531588177,0.4881731468411823,0.505418010181448,0.5182318101782324
13,44.089102309601216,54.98035075281393,49.2344829297371,29288,17195,12093,0.5871005189838842,0.41289948101611584,0.5814507200937492,0.5927274723962154
14,54.98035075281393,68.56204391905182,61.39678511941242,32707,21679,11028,0.6628244718256031,0.3371755281743969,0.6576822535868926,0.6679284468718046
15,68.56204391905182,85.49879733383489,76.56351806068278,32522,24029,8493,0.7388536990344997,0.2611463009655003,0.7340517074115509,0.7435992711086923
16,85.49879733383489,106.6194052523115,95.47686066016934,29703,23779,5924,0.8005588661078006,0.19944113389219942,0.7959759853170167,0.8050640150058184
17,106.6194052523115,132.95739742362468,119.06233089101723,27331,23036,4295,0.8428524386228092,0.15714756137719077,0.8384895972851194,0.8471189155073502
18,132.95739742362468,165.8016145168888,148.4740756994318,26225,22753,3472,0.8676072449952336,0.13239275500476644,0.8634514622637556,0.871655348697422
19,165.8016145168888,206.7592771000069,185.15134879207858,25400,21863,3537,0.8607480314960629,0.13925196850393706,0.8564358035239197,0.864951157960083
20,206.7592771000069,257.83463443031144,230.88894002562301,22124,18617,3507,0.8414843608750678,0.15851563912493216,0.8366125797412184,0.8462375766158442
21,257.83463443031144,321.5270417087862,287.9250028365796,17801,14551,3250,0.817425987304084,0.182574012695916,0.8116826517870318,0.8230323512157819
22,321.5270417087862,400.95326517487433,359.0505775168115,12499,10208,2291,0.8167053364269141,0.18329466357308588,0.8098254323751839,0.8233906270362223
23,400.95326517487433,500.0,447.74616981883514,8605,7048,1557,0.8190586868099942,0.18094131319000584,0.8107829806118011,0.8270496506737796
