bin_index,class,piE_true_left,piE_true_right,piE_true_center,n,delta_log10_piE_q16,delta_log10_piE_median,delta_log10_piE_q84,shown_in_figure
0,confused_fspl_no_parallax,0.01,0.014126898277593725,0.011885662908560768,11,0.8538713450160644,1.8397650043010192,2.2307389291154682,False
0,parallax_detected,0.01,0.014126898277593725,0.011885662908560768,0,,,,False
1,confused_fspl_no_parallax,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,0.20270360842956447,0.8758757435401842,1.903841357750923,False
1,parallax_detected,0.014126898277593725,0.019956925494548066,0.01679075508710068,1,0.06420898312532117,0.06420898312532117,0.06420898312532117,False
2,confused_fspl_no_parallax,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,0.04366625472294137,0.5824966434427743,1.6493318940154917,True
2,parallax_detected,0.019956925494548066,0.028192945639499752,0.023720128911946078,7,0.03992666979837372,0.058508201864715434,0.18232559912387025,False
3,confused_fspl_no_parallax,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,0.0988594072508138,0.6199094812548518,1.4347135353758942,True
3,parallax_detected,0.028192945639499752,0.03982788751949426,0.033509184827047234,46,-0.03109198079531623,0.03981132114375591,0.1656105011108746,True
4,confused_fspl_no_parallax,0.03982788751949426,0.056264451559934,0.04733808454167833,594,-0.012090953349520213,0.4173794497636062,1.1683524137904169,True
4,parallax_detected,0.03982788751949426,0.056264451559934,0.04733808454167833,244,-0.04065295613609083,0.018129975135543173,0.13464426481317818,True
5,confused_fspl_no_parallax,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,-0.06230910807983845,0.3423236083023098,1.0138924658143271,True
5,parallax_detected,0.056264451559934,0.07948421838317876,0.06687403049764219,990,-0.04015794488694944,0.009215639244470667,0.10002130798427677,True
6,confused_fspl_no_parallax,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,-0.09832053199783827,0.2503401058804143,0.836236426448388,True
6,parallax_detected,0.07948421838317876,0.11228654677732122,0.09447226262528921,3363,-0.052272445705410626,0.004658535391288244,0.09001171887241927,True
7,confused_fspl_no_parallax,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,-0.126232949274514,0.19937512018351872,0.7651068420608501,True
7,parallax_detected,0.11228654677732122,0.15862606242654864,0.13346000441615807,8936,-0.053696872746955115,0.001874285643834898,0.07417198428574338,True
