bin_index,class,piE_true_left,piE_true_right,piE_true_center,n,log10_relative_sigma68_q16,log10_relative_sigma68_median,log10_relative_sigma68_q84,shown_in_figure
0,confused_fspl_no_parallax,0.01,0.014126898277593725,0.011885662908560768,11,0.8625268799021117,1.7433268322152395,2.4222789215416203,False
0,parallax_detected,0.01,0.014126898277593725,0.011885662908560768,0,,,,False
1,confused_fspl_no_parallax,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,0.02302523524540559,1.0478765739504095,2.15599620893989,False
1,parallax_detected,0.014126898277593725,0.019956925494548066,0.01679075508710068,1,-0.6199845542468898,-0.6199845542468898,-0.6199845542468898,False
2,confused_fspl_no_parallax,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,-0.05864698872051046,0.5758587867580451,1.7498344857944517,True
2,parallax_detected,0.019956925494548066,0.028192945639499752,0.023720128911946078,7,-0.8223656554178358,-0.5547522783578989,-0.40949362864428807,False
3,confused_fspl_no_parallax,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,0.05248047645203572,0.7336445391328492,1.6460094595957944,True
3,parallax_detected,0.028192945639499752,0.03982788751949426,0.033509184827047234,46,-0.9567741696880661,-0.6319972590904399,-0.2038214708783701,True
4,confused_fspl_no_parallax,0.03982788751949426,0.056264451559934,0.04733808454167833,594,-0.08760941619942174,0.5916361244632926,1.3955713361612339,True
4,parallax_detected,0.03982788751949426,0.056264451559934,0.04733808454167833,244,-1.0461014683454268,-0.674167666323796,-0.32232854904900987,True
5,confused_fspl_no_parallax,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,-0.11382996140221939,0.4553105744159701,1.236519693283611,True
5,parallax_detected,0.056264451559934,0.07948421838317876,0.06687403049764219,990,-1.1357138619950233,-0.6869710258119535,-0.2985799890715027,True
6,confused_fspl_no_parallax,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,-0.18773930135881176,0.3547583778381719,1.128193833442336,True
6,parallax_detected,0.07948421838317876,0.11228654677732122,0.09447226262528921,3363,-1.1668037901318775,-0.7202439693938374,-0.2927372115804406,True
7,confused_fspl_no_parallax,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,-0.2011898024480648,0.31978869926888764,1.0421304961391307,True
7,parallax_detected,0.11228654677732122,0.15862606242654864,0.13346000441615807,8936,-1.2274815131823849,-0.7381574273183084,-0.2968758843329515,True
8,confused_fspl_no_parallax,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,-0.2199520543734865,0.2667890235864577,1.0039249409334723,True
8,parallax_detected,0.15862606242654864,0.22408942480750846,0.18853759065142744,18215,-1.290632353842353,-0.772871685614047,-0.27936977103485655,True
