bin_index,class,piE_true_left,piE_true_right,piE_true_center,n,n_covered,coverage68,wilson95_lower,wilson95_upper,shown_in_figure
0,confused_fspl_no_parallax,0.01,0.014126898277593725,0.011885662908560768,11,0,0.0,0.0,0.2588329669680317,False
0,parallax_detected,0.01,0.014126898277593725,0.011885662908560768,0,0,,,,False
1,confused_fspl_no_parallax,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,3,0.11538461538461539,0.04003244623610615,0.2897590321171364,False
1,parallax_detected,0.014126898277593725,0.019956925494548066,0.01679075508710068,1,0,0.0,0.0,0.7934506856227626,False
2,confused_fspl_no_parallax,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,19,0.2602739726027397,0.17342183463638294,0.3710948815067757,True
2,parallax_detected,0.019956925494548066,0.028192945639499752,0.023720128911946078,7,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,False
3,confused_fspl_no_parallax,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,26,0.14689265536723164,0.10225682090842,0.2065299981365503,True
3,parallax_detected,0.028192945639499752,0.03982788751949426,0.033509184827047234,46,28,0.6086956521739131,0.4645684323162076,0.7360677496217098,True
4,confused_fspl_no_parallax,0.03982788751949426,0.056264451559934,0.04733808454167833,594,131,0.22053872053872053,0.18905100633786265,0.25561781831189434,True
4,parallax_detected,0.03982788751949426,0.056264451559934,0.04733808454167833,244,173,0.7090163934426229,0.649135169768801,0.7624182502495742,True
5,confused_fspl_no_parallax,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,368,0.23772609819121446,0.21718575748283814,0.25956491483321725,True
5,parallax_detected,0.056264451559934,0.07948421838317876,0.06687403049764219,990,716,0.7232323232323232,0.694540638879658,0.7501983042154341,True
6,confused_fspl_no_parallax,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,981,0.2881903642773208,0.2732207227323551,0.303637526859158,True
6,parallax_detected,0.07948421838317876,0.11228654677732122,0.09447226262528921,3363,2461,0.7317870948557835,0.7165555637439204,0.7464897025888971,True
7,confused_fspl_no_parallax,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,2003,0.31683011705156594,0.3054760089359259,0.3284066902944521,True
7,parallax_detected,0.11228654677732122,0.15862606242654864,0.13346000441615807,8936,6604,0.7390331244404655,0.7298263441653519,0.7480344791700482,True
8,confused_fspl_no_parallax,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,3396,0.33875311720698253,0.3295517925081804,0.3480779702839643,True
8,parallax_detected,0.15862606242654864,0.22408942480750846,0.18853759065142744,18215,13494,0.740818007136975,0.7344042627446731,0.747130198150069,True
