bin_index,piE_true_left,piE_true_right,piE_true_center,n,shown_in_figure,below_q16_count,below_q16_fraction,below_q16_wilson95_lower,below_q16_wilson95_upper,covered_count,covered_fraction,covered_wilson95_lower,covered_wilson95_upper,above_q84_count,above_q84_fraction,above_q84_wilson95_lower,above_q84_wilson95_upper
0,0.01,0.014126898277593725,0.011885662908560768,11,False,11,1.0,0.7411670330319684,1.0,0,0.0,0.0,0.2588329669680317,0,0.0,0.0,0.2588329669680317
1,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,False,23,0.8846153846153846,0.7102409678828635,0.9599675537638938,3,0.11538461538461539,0.04003244623610615,0.2897590321171364,0,0.0,0.0,0.1287289218592153
2,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,True,54,0.7397260273972602,0.6289051184932242,0.8265781653636171,19,0.2602739726027397,0.17342183463638294,0.3710948815067757,0,0.0,0.0,0.0499920079557311
3,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,True,150,0.847457627118644,0.7871570006463852,0.8929967694133639,26,0.14689265536723164,0.10225682090842,0.2065299981365503,1,0.005649717514124294,0.0009980110259014425,0.031303535637056984
4,0.03982788751949426,0.056264451559934,0.04733808454167833,594,True,456,0.7676767676767676,0.7320606438145252,0.7998529518522739,131,0.22053872053872053,0.18905100633786265,0.25561781831189434,7,0.011784511784511785,0.005719895841289277,0.024123231558888528
5,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,True,1163,0.7512919896640827,0.7291542471076056,0.7721856259688833,368,0.23772609819121446,0.21718575748283814,0.25956491483321725,17,0.010981912144702842,0.006867808481576396,0.01751706576289143
6,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,True,2368,0.6956521739130435,0.6799814366489657,0.7108818168490264,981,0.2881903642773208,0.2732207227323551,0.303637526859158,55,0.01615746180963572,0.01243478489575244,0.02097095307542938
7,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,True,4197,0.6638721923441949,0.6521314379023012,0.6754139192629219,2003,0.31683011705156594,0.3054760089359259,0.3284066902944521,122,0.019297690604239165,0.016186977162767097,0.022992230921100747
8,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,True,6411,0.639501246882793,0.6300505290675746,0.6488450952659766,3396,0.33875311720698253,0.3295517925081804,0.3480779702839643,218,0.02174563591022444,0.01906842452261129,0.02478922948724836
9,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,True,8584,0.6310372711901786,0.6228926697039232,0.6391078842665923,4711,0.3463206645592884,0.33836943876974834,0.35435866329175925,308,0.02264206425053297,0.02027369413941249,0.025279968016243708
10,0.31656885093401615,0.447213595499958,0.376263064955214,16283,True,10004,0.6143830989375422,0.6068807940882636,0.6218314463678255,5877,0.36092857581526744,0.3535854051565126,0.3683373500043926,402,0.02468832524719032,0.022414671104490507,0.02718619600428705
11,0.447213595499958,0.6317740971984853,0.531543004423795,16550,True,9840,0.5945619335347432,0.5870606823670786,0.6020192969106123,6256,0.3780060422960725,0.3706477561568304,0.38542094789322817,454,0.02743202416918429,0.025051058839700772,0.030032316284374767
12,0.6317740971984853,0.8925008405541612,0.7509053953661503,13917,True,8106,0.5824531148954516,0.5742381697491994,0.5906225541365548,5394,0.3875835309333908,0.37952127116348683,0.39570783339488996,417,0.02996335417115758,0.027258017969931155,0.032928103774154276
13,0.8925008405541612,1.2608268587175546,1.060796413643391,9678,True,5638,0.5825583798305435,0.5727027367557403,0.5923485096209634,3726,0.38499690018598887,0.37534990984751765,0.39473514995564724,314,0.03244471998346766,0.029096137020589163,0.03616432624025587
14,1.2608268587175546,1.781157277876093,1.4985763028776429,5035,True,2920,0.579940417080437,0.5662514070993797,0.5935075387969663,1954,0.3880834160873883,0.3747132289256211,0.4016242468194946,161,0.031976166832174774,0.027462095105742348,0.03720385270857032
15,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,True,1380,0.5859872611464968,0.5659697886684745,0.6057246668811072,866,0.36772823779193203,0.3484837425317373,0.38740355177100494,109,0.04628450106157112,0.03851262300165581,0.05553416339474916
16,2.5162227680951306,3.5546423088645214,2.99069756244244,805,True,445,0.5527950310559007,0.5182782912262659,0.586810288337808,327,0.4062111801242236,0.3728076070278097,0.4405056222171886,33,0.040993788819875775,0.029336700450878814,0.057010825456762296
17,3.5546423088645214,5.021607031055999,4.224928024367186,239,True,116,0.48535564853556484,0.4227274642519914,0.548447144754255,113,0.47280334728033474,0.4104387974485161,0.5360283335630847,10,0.04184100418410042,0.02288342607739194,0.075293627118034
18,5.021607031055999,7.09397317177776,5.968512843039028,75,True,36,0.48,0.3706911114274907,0.5912578422718214,31,0.41333333333333333,0.30877729130406334,0.5263348413929563,8,0.10666666666666667,0.05504912762174319,0.19661362846473074
19,7.09397317177776,10.021583738168333,8.431657380212412,16,False,9,0.5625,0.331785563988119,0.7690134759450765,6,0.375,0.18481232558863633,0.6135895945449727,1,0.0625,0.01111934476464252,0.28328737570298945
20,10.021583738168333,14.157389404949152,11.911316612178315,3,False,2,0.6666666666666666,0.20765960080204765,0.9385080552796037,1,0.3333333333333333,0.06149194472039615,0.7923403991979523,0,0.0,0.0,0.5614970317550455
21,14.157389404949152,20.0,16.826995813245542,0,False,0,,,,0,,,,0,,,
