bin_index,class,component,piE_true_left,piE_true_right,piE_true_center,n,abs_error_q16,abs_error_median,abs_error_q84,shown_in_figure
0,confused_fspl_no_parallax,piEN,0.01,0.014126898277593725,0.011885662908560768,11,2.5694797365430917,18.62399980877998,69.02195958703717,False
0,confused_fspl_no_parallax,piEE,0.01,0.014126898277593725,0.011885662908560768,11,4.736295405711637,17.33411402230091,151.59575030991047,False
0,parallax_detected,piEN,0.01,0.014126898277593725,0.011885662908560768,0,,,,False
0,parallax_detected,piEE,0.01,0.014126898277593725,0.011885662908560768,0,,,,False
1,confused_fspl_no_parallax,piEN,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,0.7983342277108408,3.9614799113250614,29.285752842534308,False
1,confused_fspl_no_parallax,piEE,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,0.7790345828018798,3.651833358217547,75.41366004631841,False
1,parallax_detected,piEN,0.014126898277593725,0.019956925494548066,0.01679075508710068,1,0.15902324760743403,0.15902324760743403,0.15902324760743403,False
1,parallax_detected,piEE,0.014126898277593725,0.019956925494548066,0.01679075508710068,1,0.2754514795308159,0.2754514795308159,0.2754514795308159,False
2,confused_fspl_no_parallax,piEN,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,0.2150071697112496,1.1785631150207465,25.02155553511465,True
2,confused_fspl_no_parallax,piEE,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,0.18255978326014694,2.0036767952259713,23.43917983147291,True
2,parallax_detected,piEN,0.019956925494548066,0.028192945639499752,0.023720128911946078,7,0.058355864260182036,0.20850934661921042,0.43144098252995106,False
2,parallax_detected,piEE,0.019956925494548066,0.028192945639499752,0.023720128911946078,7,0.016863122072608306,0.163832586321273,0.5409098646998899,False
3,confused_fspl_no_parallax,piEN,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,0.3304154661978446,2.001691202854596,13.91802763980965,True
3,confused_fspl_no_parallax,piEE,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,0.34877428915422276,2.731757137890583,15.661378888829445,True
3,parallax_detected,piEN,0.028192945639499752,0.03982788751949426,0.033509184827047234,46,0.05077782059535654,0.14636448732556856,0.5553267342331566,True
3,parallax_detected,piEE,0.028192945639499752,0.03982788751949426,0.033509184827047234,46,0.017131306408897356,0.09451925182095264,0.6633311657267733,True
4,confused_fspl_no_parallax,piEN,0.03982788751949426,0.056264451559934,0.04733808454167833,594,0.22704262706888306,1.0979309691728272,6.7648407784355875,True
4,confused_fspl_no_parallax,piEE,0.03982788751949426,0.056264451559934,0.04733808454167833,594,0.29162173805994446,1.4357526364703521,9.156578504075947,True
4,parallax_detected,piEN,0.03982788751949426,0.056264451559934,0.04733808454167833,244,0.021136807466654698,0.09820810871269464,0.35058503143387115,True
4,parallax_detected,piEE,0.03982788751949426,0.056264451559934,0.04733808454167833,244,0.021091873882292996,0.11072354682442155,0.3774046268952951,True
5,confused_fspl_no_parallax,piEN,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,0.19166845804675167,1.0180971159954748,5.1802925437607135,True
5,confused_fspl_no_parallax,piEE,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,0.23121942087249045,1.1770849090714655,6.6513485492753155,True
5,parallax_detected,piEN,0.056264451559934,0.07948421838317876,0.06687403049764219,990,0.018530544591967745,0.08228386873832344,0.3485058588244588,True
5,parallax_detected,piEE,0.056264451559934,0.07948421838317876,0.06687403049764219,990,0.017960864076218726,0.08133297211696941,0.3502445655408228,True
6,confused_fspl_no_parallax,piEN,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,0.1781698696007019,0.8179693212718798,3.8559336722181543,True
6,confused_fspl_no_parallax,piEE,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,0.17682199557621434,0.9072632415884507,4.470355738684739,True
6,parallax_detected,piEN,0.07948421838317876,0.11228654677732122,0.09447226262528921,3363,0.014471362786461026,0.07687938475415,0.29923463161900377,True
6,parallax_detected,piEE,0.07948421838317876,0.11228654677732122,0.09447226262528921,3363,0.017138649284703454,0.08378653073262557,0.31347996535067324,True
7,confused_fspl_no_parallax,piEN,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,0.16247385761980568,0.6936959428536439,3.134234451227956,True
7,confused_fspl_no_parallax,piEE,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,0.16595523208327945,0.7819840504684963,3.940971767719075,True
7,parallax_detected,piEN,0.11228654677732122,0.15862606242654864,0.13346000441615807,8936,0.013159961924714594,0.06828729064669115,0.27220078996311453,True
7,parallax_detected,piEE,0.11228654677732122,0.15862606242654864,0.13346000441615807,8936,0.014013205088725613,0.0760119766603578,0.27918542634094146,True
8,confused_fspl_no_parallax,piEN,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,0.13453282817315346,0.6266589951376078,2.5924772308429924,True
8,confused_fspl_no_parallax,piEE,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,0.15842612241220752,0.698913649239862,3.0677107715710124,True
8,parallax_detected,piEN,0.15862606242654864,0.22408942480750846,0.18853759065142744,18215,0.010103332108825299,0.06043072652657612,0.2518329315880315,True
8,parallax_detected,piEE,0.15862606242654864,0.22408942480750846,0.18853759065142744,18215,0.011615070964451324,0.06660500727034221,0.2737413412095232,True
9,confused_fspl_no_parallax,piEN,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,0.12866975473970324,0.5393836321407746,2.122334878250034,True
9,confused_fspl_no_parallax,piEE,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,0.15093071345544765,0.6434403271426041,2.582036528954494,True
9,parallax_detected,piEN,0.22408942480750846,0.31656885093401615,0.26634513646353214,30301,0.008913547092387447,0.05659968606895025,0.2439915236657631,True
9,parallax_detected,piEE,0.22408942480750846,0.31656885093401615,0.26634513646353214,30301,0.010861743206042574,0.06375672888183348,0.2692970372922809,True
10,confused_fspl_no_parallax,piEN,0.31656885093401615,0.447213595499958,0.376263064955214,16285,0.11927806266252591,0.493128185734746,1.812484164486984,True
10,confused_fspl_no_parallax,piEE,0.31656885093401615,0.447213595499958,0.376263064955214,16285,0.14893471651706036,0.6005870866949331,2.2601845917083665,True
10,parallax_detected,piEN,0.31656885093401615,0.447213595499958,0.376263064955214,39582,0.009100157062253677,0.057073398896154426,0.2424728176800063,True
