bin_index,class,component,piE_true_left,piE_true_right,piE_true_center,n,relative_sigma_q16,relative_sigma_median,relative_sigma_q84,shown_in_figure
0,confused_fspl_no_parallax,piEN,0.01,0.014126898277593725,0.011885662908560768,11,6.455989204140602,42.059936482317845,297.21362550051924,False
0,confused_fspl_no_parallax,piEE,0.01,0.014126898277593725,0.011885662908560768,11,9.376887413267672,43.00473194841883,505.15801440126825,False
0,parallax_detected,piEN,0.01,0.014126898277593725,0.011885662908560768,0,,,,False
0,parallax_detected,piEE,0.01,0.014126898277593725,0.011885662908560768,0,,,,False
1,confused_fspl_no_parallax,piEN,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,1.5557949404824631,12.726558208816794,152.64212231413424,False
1,confused_fspl_no_parallax,piEE,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,1.3533632418333421,12.994462188099188,242.00989197708543,False
1,parallax_detected,piEN,0.014126898277593725,0.019956925494548066,0.01679075508710068,1,0.49131460284729545,0.49131460284729545,0.49131460284729545,False
1,parallax_detected,piEE,0.014126898277593725,0.019956925494548066,0.01679075508710068,1,0.4280647390002368,0.4280647390002368,0.4280647390002368,False
2,confused_fspl_no_parallax,piEN,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,0.8392163362070918,4.457235062026442,55.041116335774575,True
2,confused_fspl_no_parallax,piEE,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,0.7043710317247627,4.365762502415432,69.89858616656659,True
2,parallax_detected,piEN,0.019956925494548066,0.028192945639499752,0.023720128911946078,7,0.12405586054568023,0.2853098295928681,0.4208435506801189,False
2,parallax_detected,piEE,0.019956925494548066,0.028192945639499752,0.023720128911946078,7,0.1270777479821181,0.34816864735046155,0.5289949982937454,False
3,confused_fspl_no_parallax,piEN,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,1.1906858568791365,5.2620054686107585,40.25592532232318,True
3,confused_fspl_no_parallax,piEE,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,1.125944941801597,5.046939197234191,52.80887142847376,True
3,parallax_detected,piEN,0.028192945639499752,0.03982788751949426,0.033509184827047234,46,0.10882739052577188,0.23662261530325324,0.8442468279018563,True
3,parallax_detected,piEE,0.028192945639499752,0.03982788751949426,0.033509184827047234,46,0.12355618530913703,0.25100643662486977,0.6143197142475731,True
4,confused_fspl_no_parallax,piEN,0.03982788751949426,0.056264451559934,0.04733808454167833,594,0.716316093223266,3.5739502517309427,21.49708417834949,True
4,confused_fspl_no_parallax,piEE,0.03982788751949426,0.056264451559934,0.04733808454167833,594,0.8250390997935886,3.9018214744743545,29.807064465731067,True
