bin_index,class,component,piE_true_left,piE_true_right,piE_true_center,n,coverage_abs_z_le_1,median_abs_z,shown_in_figure
0,confused_fspl_no_parallax,piEN,0.01,0.014126898277593725,0.011885662908560768,11,1.0,0.42310681289859664,False
0,confused_fspl_no_parallax,piEE,0.01,0.014126898277593725,0.011885662908560768,11,0.8181818181818182,0.270873715578188,False
0,parallax_detected,piEN,0.01,0.014126898277593725,0.011885662908560768,0,,,False
0,parallax_detected,piEE,0.01,0.014126898277593725,0.011885662908560768,0,,,False
1,confused_fspl_no_parallax,piEN,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,0.8846153846153846,0.32484947340851494,False
1,confused_fspl_no_parallax,piEE,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,0.8846153846153846,0.43206881446653556,False
1,parallax_detected,piEN,0.014126898277593725,0.019956925494548066,0.01679075508710068,1,1.0,0.32366888076571126,False
1,parallax_detected,piEE,0.014126898277593725,0.019956925494548066,0.01679075508710068,1,1.0,0.6434808907039259,False
2,confused_fspl_no_parallax,piEN,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,0.7534246575342466,0.4390720137522084,True
2,confused_fspl_no_parallax,piEE,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,0.7123287671232876,0.4921229554497702,True
2,parallax_detected,piEN,0.019956925494548066,0.028192945639499752,0.023720128911946078,7,0.5714285714285714,0.7749804697570241,False
2,parallax_detected,piEE,0.019956925494548066,0.028192945639499752,0.023720128911946078,7,0.7142857142857143,0.6047159705667381,False
3,confused_fspl_no_parallax,piEN,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,0.7627118644067796,0.3862850834167001,True
3,confused_fspl_no_parallax,piEE,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,0.7627118644067796,0.42812126809466716,True
3,parallax_detected,piEN,0.028192945639499752,0.03982788751949426,0.033509184827047234,46,0.7608695652173914,0.6537380753015942,True
3,parallax_detected,piEE,0.028192945639499752,0.03982788751949426,0.033509184827047234,46,0.8260869565217391,0.3786012226321418,True
4,confused_fspl_no_parallax,piEN,0.03982788751949426,0.056264451559934,0.04733808454167833,594,0.8164983164983165,0.32661204655085885,True
4,confused_fspl_no_parallax,piEE,0.03982788751949426,0.056264451559934,0.04733808454167833,594,0.7946127946127947,0.3608820497169436,True
4,parallax_detected,piEN,0.03982788751949426,0.056264451559934,0.04733808454167833,244,0.7377049180327869,0.5897905048733427,True
4,parallax_detected,piEE,0.03982788751949426,0.056264451559934,0.04733808454167833,244,0.7540983606557377,0.6029330241060916,True
5,confused_fspl_no_parallax,piEN,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,0.834625322997416,0.35868379636158876,True
5,confused_fspl_no_parallax,piEE,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,0.8171834625322998,0.3654346140468699,True
5,parallax_detected,piEN,0.056264451559934,0.07948421838317876,0.06687403049764219,990,0.7626262626262627,0.5190164529444652,True
5,parallax_detected,piEE,0.056264451559934,0.07948421838317876,0.06687403049764219,990,0.7686868686868686,0.4980349418428933,True
6,confused_fspl_no_parallax,piEN,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,0.8254994124559342,0.34984742386853196,True
6,confused_fspl_no_parallax,piEE,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,0.8160987074030552,0.34194778593518727,True
6,parallax_detected,piEN,0.07948421838317876,0.11228654677732122,0.09447226262528921,3363,0.7528991971454059,0.5113676529658944,True
6,parallax_detected,piEE,0.07948421838317876,0.11228654677732122,0.09447226262528921,3363,0.776390127862028,0.5043994744674652,True
7,confused_fspl_no_parallax,piEN,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,0.8220499841822209,0.34912795075779834,True
7,confused_fspl_no_parallax,piEE,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,0.817146472635242,0.34057959869982485,True
7,parallax_detected,piEN,0.11228654677732122,0.15862606242654864,0.13346000441615807,8936,0.7698075201432408,0.4846804041558591,True
7,parallax_detected,piEE,0.11228654677732122,0.15862606242654864,0.13346000441615807,8936,0.778088630259624,0.4741489213603989,True
8,confused_fspl_no_parallax,piEN,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,0.8343142144638404,0.31217666312644293,True
8,confused_fspl_no_parallax,piEE,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,0.8251371571072319,0.31414765352585206,True
8,parallax_detected,piEN,0.15862606242654864,0.22408942480750846,0.18853759065142744,18215,0.7800713697502059,0.46414660758378057,True
8,parallax_detected,piEE,0.15862606242654864,0.22408942480750846,0.18853759065142744,18215,0.7867691463079879,0.4626176473462522,True
9,confused_fspl_no_parallax,piEN,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,0.8390796147908549,0.2854970025661134,True
9,confused_fspl_no_parallax,piEE,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,0.8257002131882673,0.29473376271985535,True
9,parallax_detected,piEN,0.22408942480750846,0.31656885093401615,0.26634513646353214,30301,0.7898419194086004,0.4471027185451475,True
9,parallax_detected,piEE,0.22408942480750846,0.31656885093401615,0.26634513646353214,30301,0.7884888287515264,0.44405196326917706,True
10,confused_fspl_no_parallax,piEN,0.31656885093401615,0.447213595499958,0.376263064955214,16285,0.8432299662265889,0.26186274914254376,True
10,confused_fspl_no_parallax,piEE,0.31656885093401615,0.447213595499958,0.376263064955214,16285,0.8303960700030704,0.2674304666774811,True
10,parallax_detected,piEN,0.31656885093401615,0.447213595499958,0.376263064955214,39582,0.7946036077004699,0.4286293545919394,True
10,parallax_detected,piEE,0.31656885093401615,0.447213595499958,0.376263064955214,39582,0.7872770451215199,0.43059586008724493,True
11,confused_fspl_no_parallax,piEN,0.447213595499958,0.6317740971984853,0.531543004423795,16550,0.8517824773413897,0.23710608691065965,True
11,confused_fspl_no_parallax,piEE,0.447213595499958,0.6317740971984853,0.531543004423795,16550,0.8302719033232628,0.2422541270195252,True
11,parallax_detected,piEN,0.447213595499958,0.6317740971984853,0.531543004423795,43360,0.7955719557195572,0.40963837307675566,True
11,parallax_detected,piEE,0.447213595499958,0.6317740971984853,0.531543004423795,43360,0.7903367158671587,0.41094608644115826,True
12,confused_fspl_no_parallax,piEN,0.6317740971984853,0.8925008405541612,0.7509053953661503,13919,0.856598893598678,0.21025823951931447,True
12,confused_fspl_no_parallax,piEE,0.6317740971984853,0.8925008405541612,0.7509053953661503,13919,0.8439543070622889,0.2104304358961982,True
12,parallax_detected,piEN,0.6317740971984853,0.8925008405541612,0.7509053953661503,37488,0.8077251387110542,0.37695069557322924,True
12,parallax_detected,piEE,0.6317740971984853,0.8925008405541612,0.7509053953661503,37488,0.8019366197183099,0.380021216940446,True
13,confused_fspl_no_parallax,piEN,0.8925008405541612,1.2608268587175546,1.060796413643391,9680,0.8555785123966942,0.19041313603716276,True
13,confused_fspl_no_parallax,piEE,0.8925008405541612,1.2608268587175546,1.060796413643391,9680,0.8559917355371901,0.18772358370193198,True
13,parallax_detected,piEN,0.8925008405541612,1.2608268587175546,1.060796413643391,25291,0.8139654422521846,0.35639041792785325,True
13,parallax_detected,piEE,0.8925008405541612,1.2608268587175546,1.060796413643391,25291,0.8092997508995294,0.360498983262731,True
14,confused_fspl_no_parallax,piEN,1.2608268587175546,1.781157277876093,1.4985763028776429,5036,0.8631850675138999,0.17629039559961657,True
14,confused_fspl_no_parallax,piEE,1.2608268587175546,1.781157277876093,1.4985763028776429,5036,0.8610007942811755,0.16003284564628434,True
14,parallax_detected,piEN,1.2608268587175546,1.781157277876093,1.4985763028776429,13607,0.830381421327258,0.3314162905861356,True
14,parallax_detected,piEE,1.2608268587175546,1.781157277876093,1.4985763028776429,13607,0.8232527375615492,0.3335798397649363,True
15,confused_fspl_no_parallax,piEN,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,0.8488322717622081,0.16074895090361124,True
15,confused_fspl_no_parallax,piEE,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,0.8573248407643312,0.157723232361324,True
15,parallax_detected,piEN,1.781157277876093,2.5162227680951306,2.1170234991964945,5694,0.8431682472778363,0.3117340607278536,True
15,parallax_detected,piEE,1.781157277876093,2.5162227680951306,2.1170234991964945,5694,0.8340358271865121,0.3167212764211048,True
16,confused_fspl_no_parallax,piEN,2.5162227680951306,3.5546423088645214,2.99069756244244,806,0.8771712158808933,0.1638415336660585,True
16,confused_fspl_no_parallax,piEE,2.5162227680951306,3.5546423088645214,2.99069756244244,806,0.8883374689826302,0.15273056240843372,True
16,parallax_detected,piEN,2.5162227680951306,3.5546423088645214,2.99069756244244,1989,0.8541980894922071,0.2924008167814019,True
16,parallax_detected,piEE,2.5162227680951306,3.5546423088645214,2.99069756244244,1989,0.8320764203117145,0.308043679511661,True
17,confused_fspl_no_parallax,piEN,3.5546423088645214,5.021607031055999,4.224928024367186,239,0.891213389121339,0.17816307400803477,True
17,confused_fspl_no_parallax,piEE,3.5546423088645214,5.021607031055999,4.224928024367186,239,0.891213389121339,0.13505464955967367,True
17,parallax_detected,piEN,3.5546423088645214,5.021607031055999,4.224928024367186,612,0.8480392156862745,0.26082475228150404,True
17,parallax_detected,piEE,3.5546423088645214,5.021607031055999,4.224928024367186,612,0.8447712418300654,0.26044864208590124,True
18,confused_fspl_no_parallax,piEN,5.021607031055999,7.09397317177776,5.968512843039028,75,0.8133333333333334,0.14196168914478974,True
18,confused_fspl_no_parallax,piEE,5.021607031055999,7.09397317177776,5.968512843039028,75,0.8266666666666667,0.1503816799341863,True
18,parallax_detected,piEN,5.021607031055999,7.09397317177776,5.968512843039028,159,0.89937106918239,0.25502611714780415,True
18,parallax_detected,piEE,5.021607031055999,7.09397317177776,5.968512843039028,159,0.8553459119496856,0.3007785411714421,True
19,confused_fspl_no_parallax,piEN,7.09397317177776,10.021583738168333,8.431657380212412,16,0.9375,0.07464403931259925,False
19,confused_fspl_no_parallax,piEE,7.09397317177776,10.021583738168333,8.431657380212412,16,0.75,0.3476687523855356,False
19,parallax_detected,piEN,7.09397317177776,10.021583738168333,8.431657380212412,33,1.0,0.2114296140720314,True
19,parallax_detected,piEE,7.09397317177776,10.021583738168333,8.431657380212412,33,0.9393939393939394,0.28637629300977613,True
20,confused_fspl_no_parallax,piEN,10.021583738168333,14.157389404949152,11.911316612178315,3,0.6666666666666666,0.46290376286643375,False
20,confused_fspl_no_parallax,piEE,10.021583738168333,14.157389404949152,11.911316612178315,3,0.6666666666666666,0.6217194294297572,False
20,parallax_detected,piEN,10.021583738168333,14.157389404949152,11.911316612178315,2,1.0,0.39028884478755643,False
20,parallax_detected,piEE,10.021583738168333,14.157389404949152,11.911316612178315,2,1.0,0.10632822566574884,False
21,confused_fspl_no_parallax,piEN,14.157389404949152,20.0,16.826995813245542,0,,,False
21,confused_fspl_no_parallax,piEE,14.157389404949152,20.0,16.826995813245542,0,,,False
21,parallax_detected,piEN,14.157389404949152,20.0,16.826995813245542,1,1.0,0.15047881787735676,False
21,parallax_detected,piEE,14.157389404949152,20.0,16.826995813245542,1,1.0,0.2594931512367963,False
