bin_index,class,piE_true_left,piE_true_right,piE_true_center,n,coverage68,median_D2,shown_in_figure
0,confused_fspl_no_parallax,0.01,0.014126898277593725,0.011885662908560768,11,0.7272727272727273,0.8796028160855157,False
0,parallax_detected,0.01,0.014126898277593725,0.011885662908560768,0,,,False
1,confused_fspl_no_parallax,0.014126898277593725,0.019956925494548066,0.01679075508710068,26,0.8461538461538461,0.4939248304427831,False
1,parallax_detected,0.014126898277593725,0.019956925494548066,0.01679075508710068,1,1.0,0.725059856029381,False
2,confused_fspl_no_parallax,0.019956925494548066,0.028192945639499752,0.023720128911946078,73,0.6575342465753424,1.204384732991997,True
2,parallax_detected,0.019956925494548066,0.028192945639499752,0.023720128911946078,7,0.7142857142857143,1.4529203352694295,False
3,confused_fspl_no_parallax,0.028192945639499752,0.03982788751949426,0.033509184827047234,177,0.7231638418079096,0.8617702969245752,True
3,parallax_detected,0.028192945639499752,0.03982788751949426,0.033509184827047234,46,0.8043478260869565,0.7754584495255863,True
4,confused_fspl_no_parallax,0.03982788751949426,0.056264451559934,0.04733808454167833,594,0.7744107744107744,0.7094738569600061,True
4,parallax_detected,0.03982788751949426,0.056264451559934,0.04733808454167833,244,0.7213114754098361,1.1175610340470206,True
5,confused_fspl_no_parallax,0.056264451559934,0.07948421838317876,0.06687403049764219,1548,0.725452196382429,0.8019172447976621,True
5,parallax_detected,0.056264451559934,0.07948421838317876,0.06687403049764219,990,0.7444444444444445,0.9931222855955919,True
6,confused_fspl_no_parallax,0.07948421838317876,0.11228654677732122,0.09447226262528921,3404,0.736192714453584,0.7581205735028078,True
6,parallax_detected,0.07948421838317876,0.11228654677732122,0.09447226262528921,3363,0.7472494796312816,0.9915608465198046,True
7,confused_fspl_no_parallax,0.11228654677732122,0.15862606242654864,0.13346000441615807,6322,0.7413793103448276,0.7693140063953805,True
7,parallax_detected,0.11228654677732122,0.15862606242654864,0.13346000441615807,8936,0.7433974932855864,0.9888107083932778,True
8,confused_fspl_no_parallax,0.15862606242654864,0.22408942480750846,0.18853759065142744,10025,0.7369576059850375,0.7336541836901753,True
8,parallax_detected,0.15862606242654864,0.22408942480750846,0.18853759065142744,18215,0.7463079879220422,0.9406018351855595,True
9,confused_fspl_no_parallax,0.22408942480750846,0.31656885093401615,0.26634513646353214,13603,0.7375578916415496,0.6854915412880751,True
9,parallax_detected,0.22408942480750846,0.31656885093401615,0.26634513646353214,30301,0.7464110095376391,0.9016710657449336,True
10,confused_fspl_no_parallax,0.31656885093401615,0.447213595499958,0.376263064955214,16283,0.7488791991647731,0.636589326094505,True
10,parallax_detected,0.31656885093401615,0.447213595499958,0.376263064955214,39582,0.7430902935677833,0.8935324186903241,True
11,confused_fspl_no_parallax,0.447213595499958,0.6317740971984853,0.531543004423795,16550,0.7455589123867069,0.5650485378167395,True
11,parallax_detected,0.447213595499958,0.6317740971984853,0.531543004423795,43360,0.7398754612546126,0.8581776321864172,True
12,confused_fspl_no_parallax,0.6317740971984853,0.8925008405541612,0.7509053953661503,13917,0.7510239275705971,0.5065406996773651,True
12,parallax_detected,0.6317740971984853,0.8925008405541612,0.7509053953661503,37487,0.7486328593912557,0.811948926929002,True
13,confused_fspl_no_parallax,0.8925008405541612,1.2608268587175546,1.060796413643391,9678,0.7613143211407316,0.45715843181008714,True
13,parallax_detected,0.8925008405541612,1.2608268587175546,1.060796413643391,25291,0.7561583171879325,0.7598889935236645,True
14,confused_fspl_no_parallax,1.2608268587175546,1.781157277876093,1.4985763028776429,5035,0.7614697120158888,0.4380624827099978,True
14,parallax_detected,1.2608268587175546,1.781157277876093,1.4985763028776429,13607,0.7759241566840597,0.701553832903951,True
15,confused_fspl_no_parallax,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,0.7634819532908705,0.41764793106160675,True
15,parallax_detected,1.781157277876093,2.5162227680951306,2.1170234991964945,5694,0.787319985950123,0.6602186188459205,True
16,confused_fspl_no_parallax,2.5162227680951306,3.5546423088645214,2.99069756244244,805,0.7850931677018633,0.3419963103881526,True
16,parallax_detected,2.5162227680951306,3.5546423088645214,2.99069756244244,1989,0.7873303167420814,0.6322697135471832,True
17,confused_fspl_no_parallax,3.5546423088645214,5.021607031055999,4.224928024367186,239,0.803347280334728,0.3573416348688964,True
17,parallax_detected,3.5546423088645214,5.021607031055999,4.224928024367186,612,0.7875816993464052,0.5951127155644282,True
18,confused_fspl_no_parallax,5.021607031055999,7.09397317177776,5.968512843039028,75,0.7733333333333333,0.38533838517134633,True
18,parallax_detected,5.021607031055999,7.09397317177776,5.968512843039028,159,0.8364779874213837,0.46987080402831416,True
19,confused_fspl_no_parallax,7.09397317177776,10.021583738168333,8.431657380212412,16,0.625,0.8884627239069505,False
19,parallax_detected,7.09397317177776,10.021583738168333,8.431657380212412,33,0.9696969696969697,0.5761373054810975,True
20,confused_fspl_no_parallax,10.021583738168333,14.157389404949152,11.911316612178315,3,0.6666666666666666,1.596264350329487,False
20,parallax_detected,10.021583738168333,14.157389404949152,11.911316612178315,2,0.5,1.5318953113737375,False
21,confused_fspl_no_parallax,14.157389404949152,20.0,16.826995813245542,0,,,False
21,parallax_detected,14.157389404949152,20.0,16.826995813245542,1,1.0,0.1898286388452849,False
