bin_index,R_FS_left,R_FS_right,R_FS_center,R_FS_median,n,n_detected,detection_fraction,wilson95_lower,wilson95_upper,shown_in_figure
0,1e-07,2.1544346900318822e-07,1.467799267622069e-07,,0,0,,,,False
1,2.1544346900318822e-07,4.641588833612782e-07,3.162277660168379e-07,,0,0,,,,False
2,4.641588833612782e-07,1e-06,6.812920690579615e-07,8.459592755204764e-07,19,12,0.631578947368421,0.41039533164803066,0.8085048725486492,False
3,1e-06,2.1544346900318822e-06,1.467799267622069e-06,1.8072255135061868e-06,199,146,0.7336683417085427,0.6682504800468909,0.7902356723437267,True
4,2.1544346900318822e-06,4.641588833612773e-06,3.1622776601683762e-06,3.6572118978790772e-06,1106,832,0.7522603978300181,0.7259742576456556,0.7768002562862035,True
5,4.641588833612773e-06,1e-05,6.8129206905796085e-06,7.428498691295536e-06,3814,2803,0.7349239643418982,0.7206850261359566,0.7486901481159193,True
6,1e-05,2.1544346900318823e-05,1.4677992676220692e-05,1.5189742946366625e-05,7428,5344,0.719439956919763,0.7091115662978661,0.7295414940591703,True
7,2.1544346900318823e-05,4.641588833612772e-05,3.162277660168376e-05,3.172267318571588e-05,8718,6018,0.6902959394356504,0.6805081136829376,0.6999161368226015,True
8,4.641588833612772e-05,0.0001,6.812920690579608e-05,7.096447097581532e-05,10686,7497,0.70157215047726,0.692825434105336,0.7101739945199842,True
9,0.0001,0.00021544346900318823,0.00014677992676220692,0.0001579103798464485,20488,15155,0.7397012885591566,0.7336482979007716,0.7456644090483705,True
10,0.00021544346900318823,0.00046415888336127773,0.0003162277660168378,0.0003333427491877905,41734,30572,0.7325442085589687,0.7282763017029444,0.7367693097034399,True
11,0.00046415888336127773,0.001,0.0006812920690579612,0.0006956157738571586,62097,44427,0.7154451905889173,0.711883128569619,0.7189805984177629,True
12,0.001,0.002154434690031882,0.0014677992676220691,0.001448433304625361,64645,44529,0.688823574909119,0.685243513864373,0.692381196016164,True
13,0.002154434690031882,0.004641588833612773,0.003162277660168376,0.0030529909556854255,49175,32834,0.6676970005083884,0.6635207908653694,0.6718470118473118,True
14,0.004641588833612773,0.01,0.006812920690579608,0.006427242529921741,29663,19168,0.6461922260054613,0.6407322849411587,0.6516143071973617,True
15,0.01,0.021544346900318822,0.014677992676220691,0.013703751755142702,15578,10251,0.6580433945307484,0.6505561271611614,0.6654527356560495,True
16,0.021544346900318822,0.046415888336127725,0.03162277660168376,0.029743025778527638,7876,5284,0.6708989334687658,0.6604404177296476,0.6811908211814571,True
17,0.046415888336127725,0.1,0.06812920690579609,0.06324958832838201,3886,2604,0.6700977869274318,0.6551532934967589,0.6847063162058943,True
18,0.1,0.21544346900318823,0.1467799267622069,0.13649802208129547,1878,1268,0.6751863684771033,0.6536672015087872,0.6959903091788311,True
19,0.21544346900318823,0.46415888336127725,0.3162277660168376,0.29775311709991314,870,600,0.6896551724137931,0.6581361360141695,0.7195067380666238,True
20,0.46415888336127725,1.0,0.6812920690579608,0.6358730158730159,433,297,0.6859122401847575,0.6407209701583768,0.727833792099397,True
21,1.0,2.154434690031882,1.467799267622069,1.3464147084642972,194,138,0.711340206185567,0.6439610153449158,0.7705122729577019,True
22,2.154434690031882,4.641588833612772,3.1622776601683755,3.0014662756598245,83,63,0.7590361445783133,0.6569026394404471,0.8382525615884098,True
23,4.641588833612772,10.0,6.812920690579608,6.616580952679607,56,47,0.8392857142857143,0.7219379333025048,0.9130733239240486,True
24,10.0,21.54434690031878,14.677992676220676,12.381229353600585,20,14,0.7,0.4810271816464765,0.8545227551323956,False
25,21.54434690031878,46.41588833612773,31.622776601683732,26.09811320754717,11,10,0.9090909090909091,0.6226415635484043,0.9837678271141151,False
26,46.41588833612773,100.0,68.12920690579608,72.03722222222223,4,2,0.5,0.15003898915214953,0.8499610108478505,False
27,100.0,215.44346900318777,146.77992676220674,164.05420168067226,4,4,1.0,0.5101091635454027,1.0,False
28,215.44346900318777,464.1588833612773,316.2277660168373,218.86666666666667,1,1,1.0,0.20654931437723745,1.0,False
29,464.1588833612773,1000.0,681.2920690579608,828.915,2,1,0.5,0.09453120573423074,0.9054687942657693,False
